z_len,z_entry_bull,z_entry_bear,trades,cagr,maxdd,sharpe,mar
15,-1.8,1.8,0,0.0,0.0,0.0,0.0
15,-1.8,2.0,0,0.0,0.0,0.0,0.0
15,-1.8,2.2,0,0.0,0.0,0.0,0.0
15,-2.0,1.8,0,0.0,0.0,0.0,0.0
15,-2.0,2.0,0,0.0,0.0,0.0,0.0
15,-2.0,2.2,0,0.0,0.0,0.0,0.0
15,-2.2,1.8,0,0.0,0.0,0.0,0.0
15,-2.2,2.0,0,0.0,0.0,0.0,0.0
15,-2.2,2.2,0,0.0,0.0,0.0,0.0
20,-1.8,1.8,0,0.0,0.0,0.0,0.0
20,-1.8,2.0,0,0.0,0.0,0.0,0.0
20,-1.8,2.2,0,0.0,0.0,0.0,0.0
20,-2.0,1.8,0,0.0,0.0,0.0,0.0
20,-2.0,2.0,0,0.0,0.0,0.0,0.0
20,-2.0,2.2,0,0.0,0.0,0.0,0.0
20,-2.2,1.8,0,0.0,0.0,0.0,0.0
20,-2.2,2.0,0,0.0,0.0,0.0,0.0
20,-2.2,2.2,0,0.0,0.0,0.0,0.0
25,-1.8,1.8,0,0.0,0.0,0.0,0.0
25,-1.8,2.0,0,0.0,0.0,0.0,0.0
25,-1.8,2.2,0,0.0,0.0,0.0,0.0
25,-2.0,1.8,0,0.0,0.0,0.0,0.0
25,-2.0,2.0,0,0.0,0.0,0.0,0.0
25,-2.0,2.2,0,0.0,0.0,0.0,0.0
25,-2.2,1.8,0,0.0,0.0,0.0,0.0
25,-2.2,2.0,0,0.0,0.0,0.0,0.0
25,-2.2,2.2,0,0.0,0.0,0.0,0.0
